epoch,train_loss,train_mse,val_mse,val_mae,val_rmse,val_rel,lr
1,15.814469013649683,0.015155651707736513,0.015313840038860299,116.68161078861782,268.55844663926007,0.3276555202401392,3.999032858316834e-05
2,11.758471579219286,0.011350094532621697,0.01215560435541972,83.44277899605888,211.21544856668865,0.24056647018897676,5.994198581579119e-05
3,10.980173477186607,0.01057403730038249,0.01149831159808465,82.24767927442278,209.48482202277123,0.2232315685745192,7.982602901244076e-05
4,10.078591194863503,0.00971909888325265,0.01054779768453175,73.86056018556867,172.11726632015788,0.20905356410158266,9.961362036440942e-05
5,9.498379685748846,0.009158358756627795,0.010830339042175702,81.16969688960484,208.41264725667696,0.2311333038413395,9.939672868916175e-05
6,9.85591798199293,0.009499886495177634,0.010678096609054982,74.5633994783674,195.47449009429124,0.20714978843919551,9.913207528570576e-05
7,9.361652498348402,0.009042206262678612,0.010375420300767603,74.59665968758719,190.50903040160742,0.2049904780118484,9.881992133499863e-05
8,8.477061758725307,0.008175330744448636,0.01019874171522263,71.85149312700544,173.97141160254182,0.203696279310846,9.846057489530293e-05
9,9.98232997686435,0.009627936265202992,0.010148459474034357,70.26147793361119,175.0398438893243,0.19728511749988303,9.805439059817022e-05
10,10.242129374008913,0.00986613858493421,0.009836212969496825,66.21422170911517,159.75670814344866,0.19510354670725116,9.760176929846253e-05
11,8.648945612594103,0.008348178917796573,0.009654757628712624,60.97923188890729,148.40111105761542,0.18540089337070895,9.710315767875706e-05
12,8.770528401940679,0.008465297173340028,0.009503827129589939,60.447063718523296,145.9046009655306,0.1800352884831027,9.655904780852432e-05
13,9.29089403591859,0.008951876241227206,0.00962877327136604,64.49486133030483,154.93892599981442,0.19186113483307005,9.596997665851508e-05
14,7.866773963977511,0.007576133787038905,0.00974412659779773,65.50076822553362,161.39018547743603,0.18918312390958114,9.533652557083496e-05
15,8.041647284124524,0.007761631250151624,0.009622321852345652,64.11201654161725,159.29512008663767,0.18480905984517043,9.465931968523003e-05
16,7.632002296356054,0.007354434113623052,0.009416304916963521,60.14411296844482,148.48786115719858,0.17844451511215742,9.393902732214931e-05
17,8.470173456109105,0.008168219655393235,0.009475721449520538,63.69195665631975,156.28072992456114,0.18840257890193748,9.317635932319325e-05
18,8.729160700506794,0.00842960271503939,0.009562599417131423,64.66458459581648,160.4362078373387,0.18640083466256752,9.237206834959874e-05
19,8.678562056082182,0.008354048186260909,0.00947334928728846,62.661851964678085,154.97661423701967,0.1807001153107899,9.152694813945352e-05
20,8.814547903358172,0.00851063094290648,0.009473315669207035,62.05133604322161,150.8976845445381,0.1792051165033562,9.064183272437244e-05
21,7.88774368357964,0.007624401774032426,0.009630080914679899,65.06767714364189,161.69657463581797,0.1848359390855918,8.971759560640882e-05
22,7.081490348355892,0.00683037756822066,0.009711443193555169,66.32096917288644,166.80196176192717,0.18603999784403255,8.875514889601367e-05
23,8.868491290949095,0.008576326022870116,0.009609527367164056,65.37811519077846,162.77903313606228,0.18280838026457435,8.775544241189252e-05
24,7.437643422625768,0.007183914252565069,0.00955579958827002,65.97360221317837,163.5758212092404,0.18310522874419816,8.671946274364917e-05
25,8.964564476257715,0.008660328056113288,0.009410233226013328,63.40190372467041,156.6537890012221,0.1755382275251161,8.564823227814083e-05
26,8.337757014120237,0.008056561117066452,0.009392532223864691,63.351686995370045,155.4041692769559,0.1753057370580165,8.454280819050575e-05
27,7.57880664549959,0.0073172472828166345,0.00941430985054207,63.50078983306885,156.67141183019737,0.17485096913821102,8.340428140085894e-05
28,7.768646836328583,0.007506055135775405,0.009462056049401976,64.64846561976842,159.21215880726407,0.17794019989163656,8.22337754976858e-05
29,8.321643299972399,0.008032824067226895,0.009481306860691673,65.85965723310198,162.46715435785552,0.17880441433419644,8.103244562899586e-05
30,7.859042016287836,0.0075929610348584205,0.009464869006764534,65.59030908857073,161.83285858867978,0.17778250840207066,7.98014773623312e-05
31,7.23214407169666,0.006992280400038744,0.009504524826583552,65.749042061397,163.24621230636907,0.1778584368722643,7.854208551475441e-05
32,7.243970809074549,0.00697695108759105,0.0095490520376578,65.60310365131923,164.73348239954652,0.17590586966179944,7.725551295397084e-05
33,7.9239322966299,0.007661471632696377,0.009365132044649727,62.989778654915945,158.22505087108715,0.17045656013786573,7.59430293717682e-05
34,6.8825987770150485,0.006654627838309888,0.009335520647443576,62.73308552333287,157.66418644518473,0.17113126237368428,7.460593003098405e-05
35,8.111648171853561,0.007840350633089726,0.009367809207339763,63.500862557547435,161.41208600360702,0.1724476439725824,7.32455344872378e-05
36,7.027097607843387,0.00678423108071841,0.009517489583757716,66.08441521780831,167.6885334152475,0.18034938888343205,7.186318528668857e-05
37,6.752229146659374,0.006526246360944918,0.009592011994748515,66.67689214433942,170.63137322741957,0.17949981068527593,7.046024664110424e-05
38,7.770249454495617,0.007508879408025957,0.00955520958453105,65.127350125994,167.1972349750228,0.17488367341589892,6.903810308154924e-05
39,7.499971309724526,0.007234535772742954,0.009374553056854243,62.35397954668318,159.10477850187092,0.16936151448105832,6.759815809201929e-05
40,8.093792721390342,0.007815087314389903,0.009260706488592924,61.97551427568708,158.30840760612392,0.1700135009353537,6.614183272437244e-05
41,7.308867213483422,0.00706183725649167,0.009192628190800991,60.75363641466413,155.09261497670576,0.16817885266586505,6.467056419592224e-05
42,6.129771795553657,0.005925125267705693,0.009212033747644455,61.82832508087158,157.44380833855993,0.17181939655603207,6.318580447107789e-05
43,7.1803438776674176,0.006942333881829071,0.009194210205636669,60.28494998386928,154.69879229040424,0.1664961720170046,6.16890188284306e-05
44,7.520582381922465,0.007261696097908172,0.009287426418917935,61.357847922188895,158.47942373457775,0.16709650162808892,6.0181684414700524e-05
45,6.519482414309795,0.006307317864878151,0.009274652377202333,61.44486713409424,156.95543629376525,0.16904906938001252,5.8665288786971314e-05
46,6.67651438808594,0.006461356254558035,0.009236934873043928,61.921740777151925,156.80289846000858,0.1721205099868436,5.714132844465092e-05
47,6.067253152529399,0.00586738939408604,0.009210591821543598,62.33980282374791,155.4086778720065,0.17419107856394928,5.56113073526072e-05
48,6.8400345004330845,0.006607675684790593,0.00925856348669965,62.42427046639579,156.65799676269353,0.17269711094354168,5.407673545693637e-05
49,6.654927372454833,0.006442843992515872,0.00928296502280708,62.93766040802002,158.19090056251838,0.1754043490980618,5.2539127194828285e-05
50,6.990473034290167,0.00675821991181016,0.009346542843962068,62.25034010750907,158.23965628521879,0.17160122832210933,5.1000000000000006e-05
51,7.1006540082013,0.00686805197120777,0.009329237155504546,62.12796748025077,156.52025949097703,0.1713467460195855,4.9460872805171714e-05
52,6.918551444840164,0.006696185204605289,0.009392532660824925,63.409273856026786,159.28037334630108,0.17597475419250763,4.792326454306365e-05
53,6.660318565101195,0.006446075007354524,0.009562224845402463,64.71591306413923,164.9850864175098,0.17633454253730538,4.63886926473928e-05
54,6.3616229714586945,0.006159560887075107,0.009642245134247267,65.65852424076625,168.27704684515425,0.17734691136225939,4.48586715553491e-05
55,7.288461733322877,0.00703945381806429,0.009521169447641245,63.5459237234933,162.79515929128593,0.17223663611002785,4.333471121302869e-05
56,7.206107622155776,0.0069594330757704135,0.009482939574919719,62.4396390914917,160.9358526914343,0.16919198012609074,4.18183155852995e-05
57,6.8125911062249,0.006590137934089841,0.009420170632769701,62.15108895983015,160.05446085946312,0.16937635962162412,4.0310981171569426e-05
58,5.935107623919462,0.005734163133568542,0.009427381955850122,62.1189769744873,160.64627976343408,0.1696495328519399,3.881419552892211e-05
59,6.957516650788677,0.006735421862825975,0.009403161122242766,61.06640082768032,157.1446571547957,0.16646850617418227,3.732943580407777e-05
60,6.267442449163168,0.006069499153781157,0.00942929631779147,61.72195919581822,157.50244099769787,0.16820647751006018,3.5858167275627595e-05
61,6.344321474623986,0.006143571970497783,0.00940785819262341,61.70757043021066,157.25700776248857,0.1685249206914282,3.440184190798073e-05
62,6.454960450601693,0.006249420595920058,0.009427747444390532,61.47676549639021,156.87481135681395,0.1676678975158726,3.29618969184508e-05
63,6.541280093578956,0.006330606393954114,0.00948768517791255,61.61193128313337,158.29489151778483,0.1674180747407838,3.1539753358895745e-05
64,5.276634744296853,0.005101591881145559,0.009556200392281815,62.5641302381243,160.5091485305685,0.17026164744872693,3.013681471331144e-05
65,5.957509056879924,0.0057694309924465,0.009579161651793454,62.79889728001186,160.6103145608183,0.17036966971675466,2.8754465512762214e-05
66,5.529068344153273,0.005342354614745441,0.009605468655425803,62.711250986371724,160.84882615362673,0.16875887209723978,2.7394069969015945e-05
67,6.011792262395223,0.005817601821036078,0.009693566506822598,63.662626593453545,162.98390695349812,0.170869585256266,2.6056970628231807e-05
68,5.876174548975168,0.0056894764692025585,0.009681966726020619,63.82053473336356,161.75506794708122,0.17276832427585317,2.4744487046029154e-05
69,5.410421518274607,0.005239576343275332,0.009673038379781116,63.28927966526577,160.031335911958,0.1712554876826512,2.3457914485245598e-05
70,4.699655349796208,0.004549125946794401,0.009664583921299449,63.40000547681536,159.94621206373054,0.1717389127597209,2.2198522637668823e-05
71,5.301658391761474,0.005130662897173375,0.009660912522057126,63.27656247275216,158.9398804105048,0.17243484481554955,2.0967554371004147e-05
72,5.756637893497753,0.005574383615473777,0.00963395778261916,62.67893374306815,158.00845600787974,0.17057205734140413,1.97662245023142e-05
