epoch,train_loss,train_mse,val_mse,val_mae,val_rmse,val_rel,lr
1,16.449811679812576,0.01606426921856697,0.02050176831045454,305.14886082240514,412.5251326675217,1.6434594238555746,1e-05
2,19.014109580180584,0.0185684663868951,0.01734774990680827,180.64282779693605,347.3904997118639,0.6162262667755642,1e-05
3,15.389694271943508,0.015028998312444832,0.01667319202294623,193.63819841657366,309.39232740926576,0.7955916970028117,1e-05
4,15.927207208596743,0.015553913289645257,0.01731844212294423,174.10887298583984,332.49300509873046,0.6159135498726669,1e-05
5,14.60277337141526,0.014260520870522715,0.016642984741338296,158.38564632960728,329.2982193375198,0.4951146206623972,1e-05
6,14.074411071311587,0.013744542061827722,0.017940400701575397,181.2002199445452,363.3718767476211,0.5462669124844408,1e-05
7,14.688808771471182,0.014344539815889826,0.017553771833159513,182.2430520738874,356.2765697589412,0.5324857516474321,1e-05
8,15.630226968190609,0.015263893523623642,0.015596721968073065,150.40875020708356,283.0363552807876,0.5150662206133132,1e-05
9,15.358287774599516,0.01499832790488234,0.01598078297133075,159.00223350524902,297.6393195198694,0.5671186660724769,1e-05
10,14.371378278503052,0.014034549100100636,0.0154608854703838,147.3455995287214,294.42121862564295,0.4782318560775226,1e-05
11,13.042694872388473,0.012737006711316869,0.015351487597009899,169.94760556902204,284.55515204261866,0.610557494574283,1e-05
12,11.23762291803574,0.010974241130894277,0.01625452711346692,287.1254720415388,367.64923962269796,1.3585062714385303,1e-05
13,14.66858656436969,0.014324791566767275,0.015182002655533974,155.9191030229841,288.07802711776935,0.5590463600798616,1e-05
14,13.99030370513598,0.013662405962046856,0.015114990805575093,149.6702438354492,283.8348063243009,0.5163863642284913,1e-05
15,12.621641512578114,0.012325821789627064,0.015538746802693432,188.9258318219866,289.171834505211,0.7394394697899492,1e-05
16,15.366585520024483,0.015006431171898909,0.017624892853512264,172.17223870413645,357.9673547205239,0.5004388048674568,1e-05
17,14.493268656998108,0.014153582672849715,0.015095355612512712,165.46165357317244,287.9341889813921,0.6606672715391306,1e-05
18,12.649958836726654,0.012353475426490873,0.015590325173148553,252.73735700334822,336.6429062720287,1.143173420529971,1e-05
19,13.477778195570677,0.013161892769111989,0.014857363278653272,208.12949589320593,300.91006679879433,0.8355168636867152,1e-05
20,13.938202537596226,0.013611525915621314,0.014229343076658551,135.78665221078055,254.13849067248603,0.4571464039981321,1e-05
21,13.281412752010883,0.012970129640635628,0.01819450074919067,185.26368271963938,381.56285665098335,0.5286634014410162,1e-05
22,11.864550606944622,0.011586475202094357,0.013733232317671146,131.43102902003696,238.82744929417711,0.44522671523435453,1e-05
23,12.42692430680379,0.012135668268363075,0.013772901018507712,152.26636096409388,248.78476591818486,0.5825043148910973,1e-05
24,12.609808606406053,0.012314266217193412,0.013651099573793804,131.60431540352957,237.53123064876146,0.4375452523160638,1e-05
25,12.164190704241777,0.01187909248461111,0.013228857251046324,123.42264022827149,238.93917827288473,0.38975170897924194,1e-05
26,11.527949393941807,0.011257763080021296,0.013427861220718894,154.02203826904298,246.99248788863204,0.5498973430746162,1e-05
27,13.322818508706032,0.013010564949908234,0.01353267775120912,148.47725655691966,240.7520145901652,0.5395054531117329,1e-05
28,13.420710478455593,0.01310616257661679,0.01429671187558727,135.26044780186245,277.3325155076164,0.41481083821004716,1e-05
29,12.58137783026084,0.012286501787364101,0.01355875599859116,150.82921627589636,245.49232550897727,0.539157374973344,1e-05
30,13.433224917222292,0.013118383708224894,0.013313727664041965,124.17900875636509,221.81907061174806,0.40989435578058653,1e-05
