epoch,train_loss,val_loss
1,0.02340028841027157,0.020794574137179906
2,0.01172640450734368,0.013532348770562929
3,0.00774636966231921,0.009254362475382917
4,0.0053238205314718205,0.006101472499488874
5,0.00438172081058947,0.004998120374067594
6,0.004632916209194276,0.006367762548891643
7,0.003661681701241096,0.004695711621858237
8,0.0033355376157355255,0.004311418944244622
9,0.003000406918853814,0.0035808532324598263
10,0.0029314631153391528,0.0036662115100486816
11,0.0028388856233189756,0.0034570345847035637
12,0.0028208428162636687,0.003760557432609205
13,0.0027029262180954146,0.0037772353048941107
14,0.0030093359482609413,0.0035270587907293596
15,0.0026317767267368996,0.003400964228052447
16,0.0025664266298440507,0.003382242147149589
17,0.002843898065115583,0.003460103924962059
18,0.0024575319143814796,0.0033717183794342836
19,0.002414976024256984,0.003180316662174145
20,0.0026086998147165016,0.003230996081207431
21,0.0024197725186205165,0.0030685201873789534
22,0.0023278734992842327,0.0033189095179941364
23,0.002422713259888397,0.0031691762433877883
24,0.002624680150265235,0.003043983896611301
25,0.0023362398064198037,0.002887361500952535
26,0.00246102180513184,0.003720943065260658
27,0.0023076223178278544,0.0028299493356145748
28,0.002312344691136628,0.0031620328275501043
29,0.0024720354068899436,0.003104925229221241
30,0.0023012575667156537,0.0028809689006675746
31,0.0022701912494079313,0.0030974839408775324
32,0.002463052422131883,0.0032765176605774474
33,0.002341433057735902,0.002706871024965671
34,0.0022928274351987723,0.0031336179091986127
35,0.0024632943762909506,0.0027927102041181945
36,0.0021965068625914466,0.0026840475320332605
37,0.002133788596625491,0.0026573250923334186
38,0.0020889116307600225,0.002986539726479704
39,0.0021341591490316872,0.0027918822004083005
40,0.002080775919855433,0.0027763400614290064
41,0.0021445460553004584,0.0026362054785784646
42,0.002162075099533002,0.002797686786369513
43,0.002239623685037673,0.003381900483998292
44,0.0021726123643094767,0.0026908948935767396
45,0.002138303043336005,0.0025520494780041105
46,0.0022011445916333187,0.0027358093643774285
47,0.0021194663118854324,0.0030057131234584875
48,0.0021646707043438563,0.003034179723814471
49,0.0020951692407679664,0.0035095078476086146
50,0.0022305878854751928,0.0026262431497906
51,0.002012047269484386,0.0026379089187546314
52,0.002052628776235224,0.0027112320147255676
53,0.0021639332254070756,0.0032089681492563876
54,0.0021975953655830683,0.002572753118308446
55,0.001940961665312439,0.002422456091397819
56,0.0019271070222337582,0.002531775642712494
57,0.0019335171385978151,0.0025209246167756673
58,0.0019554609819281104,0.002522947490997328
59,0.0018817733312657718,0.0025059940001948646
60,0.001912584551029404,0.0025341360655591915
61,0.0018948037138297083,0.0024404409604559417
62,0.0019126680711221836,0.002519507326526951
63,0.001922275046193523,0.0024066138639335186
64,0.0019268726436565962,0.0024783289561204555
65,0.0019181390445243845,0.002515522185144306
66,0.00188042163336383,0.002596647927949902
67,0.0020076203600519495,0.0025577960777601215
68,0.0019115994036356056,0.0024570859758936948
69,0.0019452328518800627,0.0024365417051434744
70,0.001882618211684954,0.002415141030321367
71,0.0019050467970308132,0.0023380496724018157
72,0.0018944152275622744,0.002704600875713784
73,0.0018813260374034855,0.0024111625208796663
74,0.0019178875607765071,0.0025263236529897643
75,0.0019039339558788722,0.0025960276241037456
76,0.0018610130010122466,0.0024610132348673944
77,0.001884457380385218,0.0023183155204133904
78,0.0018500471889145692,0.0024336588121097505
79,0.0018647402196738775,0.0025981834766149294
80,0.0018651539108389265,0.002495522506335992
81,0.0018580494084732815,0.0028166529043570504
82,0.0018566256769394422,0.002356793461651861
83,0.0018112213143893043,0.0022764534046091425
84,0.0018670804763954508,0.0024316915282481953
85,0.001777812783611681,0.0023890658967794126
86,0.0018894221583413279,0.0024371336708342984
87,0.0018299555278993161,0.002229811547267187
88,0.001765291374165318,0.0025880070968410216
89,0.0018193321860336736,0.002253080629708089
90,0.0017202777977277414,0.0024906822551354654
91,0.0017895581378340295,0.0023687161672291636
92,0.0017796207016611127,0.002558776320008035
93,0.0018356422793184112,0.0022466659279298464
94,0.0017218386657396674,0.002310773223382599
95,0.0017357542327447557,0.0024480954534196442
96,0.0016965604332776,0.0022417471154045515
97,0.001671660549926114,0.002174598444608673
98,0.0016430181185185654,0.002206038370131309
99,0.0016884235071988499,0.0023569220549050176
100,0.0016720388491294565,0.0021176810913100725
101,0.0016330696047947744,0.0022328668803630668
102,0.001698886781823551,0.0022366413441380017
103,0.0016112928696811345,0.002239936380824856
104,0.0016476077326700604,0.0022231607683685446
105,0.0016488008349235317,0.002122058004553195
106,0.0016348094180438026,0.002134118422169153
107,0.0016362410719210979,0.002072861298513492
108,0.0016180638846798891,0.002181651677495537
109,0.001661367675749081,0.0023306203682601223
110,0.0017033574172221001,0.0021066087529148536
111,0.0016685752911631776,0.002080136713152396
112,0.0016373053574607155,0.0022025973347676846
113,0.0016318260790103968,0.002221645295036999
114,0.0016585517180847493,0.002237412773911621
115,0.0016289633049577084,0.002126777435489397
116,0.001649326221059432,0.0022685943629933906
117,0.0016337259476874953,0.0020718526248002553
118,0.001584228347699087,0.0020704064095207982
119,0.0015789941597108533,0.0020576668917450286
120,0.001575507154803988,0.0020787232466582353
121,0.001582577739684604,0.0020673423365668484
122,0.0015686076513292818,0.002094479481412368
123,0.001559356449753311,0.002065583688512672
124,0.001550884967428447,0.002111937701773211
125,0.0016054062301084362,0.0020799476319198844
126,0.0015830924736757747,0.0020631807834933734
127,0.0015731472474426178,0.0020650235200229718
128,0.0015664175399506765,0.0021480843957997005
129,0.0015569771672366759,0.0021106146688338453
130,0.0015719948203218393,0.0020721389805428854
131,0.0015504892090204509,0.0020808626243574474
132,0.0015433071322437568,0.0020644826327542993
133,0.0015557669470001405,0.0021025833453385883
134,0.001547900244737545,0.002074251617909274
135,0.0015731536855049986,0.0020864183015637952
136,0.001567770631600077,0.0020705282094511594
137,0.0015325629976307722,0.002121918959159205
138,0.0015567563989147153,0.002053726897468321
139,0.001541559853212556,0.0020727832403517406
140,0.0015351325038779383,0.002061807128195544
141,0.0015366111451779734,0.0020414565042912503
142,0.0015341603047902088,0.002059680533787335
143,0.001527088061690891,0.0020601994340229807
144,0.0015463954616202467,0.0020728844676508023
145,0.001528585308481949,0.002064645645130454
146,0.0015496060757449266,0.002069362459476781
147,0.0015393944430615804,0.0020871659890101613
148,0.0015460377975990683,0.0020627482005089294
149,0.0015570335812449382,0.002069008178326465
150,0.0015364596027464363,0.002065169079342985
151,0.0015367671216815978,0.002060965158557164
152,0.0015404031170685932,0.002076641266511483
153,0.0015233768985583123,0.0020735330424690975
154,0.0015492302584819775,0.002067937575394416
155,0.00153862800544702,0.002064203297477642
156,0.00152509134527043,0.0020569495152938
157,0.0015225894300637192,0.00205582010502863
158,0.0015348874070763112,0.0020626789186405773
159,0.0015264067576492993,0.002054104268664622
160,0.0015341631674267906,0.002058113244795845
161,0.0015300382228906305,0.0020645471798071196
162,0.0015291710823008263,0.0020599096594022884
163,0.0015232540584052818,0.0020600918058362853
164,0.0015581766114599138,0.002062420090233893
165,0.001522800931059744,0.0020655513726857326
166,0.0015402125482708643,0.0020650978943062876
